"Reference","Qty","Value","LCSC Part Number","Exclude from BOM","Footprint"
"BUZZER1","1","CPT-9019A-SMT-TR","C20181991","","EasyEDA:BUZ-SMD_L9.0-W9.0_CPT-9019A-SMT-TR"
"C1,C5,C6,C7,C15,C16,C17,C18,C19,C21,C24,C25,C26,C29,C31,C32,C33","17","100nF","C5137467","","customs:C_0805_2012Metric - CUSTOM TEXT"
"C2,C3,C8,C9,C20","5","10uF","C15850","","customs:C_0805_2012Metric - CUSTOM TEXT"
"C4,C30","2","1uF","C28323","","customs:C_0805_2012Metric - CUSTOM TEXT"
"C10,C14,C22,C23,C27,C28","6","22uF","C98190","","customs:C_0805_2012Metric - CUSTOM TEXT"
"CN2","1","S2B-ZR-SM2-TF","C594994","","EasyEDA:CONN-SMD_2P-P1.50_S2B-ZR-SM2-TF-LF-SN"
"F1","1","1A","C2649901","","Fuse:Fuse_1812_4532Metric"
"H1,H2","2","HX PZ2.54-1X5P WT","C46061678","","EasyEDA:HDR-SMD_5P-P2.54-H-M-W12.8-N"
"J2","1","USB_C_Receptacle_USB2.0_16P","C2988369","","Connector_USB:USB_C_Receptacle_G-Switch_GT-USB-7010ASV"
"L1","1","0.47uH <30mOhm >4A","C42455362","","EasyEDA:L1008"
"Q1","1","FS8205A","C908265","","footprints:SOT-23-6L_TCP"
"Q2","1","BSS138","C7420339","","Package_TO_SOT_SMD:SOT-23"
"R1","1","100R","C105577","","customs:R_0805_2012Metric - CUSTOM TEXT"
"R2","1","1k","C2907232","","customs:R_0805_2012Metric - CUSTOM TEXT"
"R3,R4","2","5k1","C27834","","customs:R_0805_2012Metric - CUSTOM TEXT"
"R5,R8,R12,R15,R16,R17,R18,R22,R23,R24,R25,R26,R27,R31,R32,R35,R38","17","10k","C2907219","","customs:R_0805_2012Metric - CUSTOM TEXT"
"R7","1","1k5","C2907216","","customs:R_0805_2012Metric - CUSTOM TEXT"
"R9","1","1k1","C2933286","","customs:R_0805_2012Metric - CUSTOM TEXT"
"R10","1","2.94k","C865383","","customs:R_0805_2012Metric - CUSTOM TEXT"
"R11","1","18k","C17506","","customs:R_0805_2012Metric - CUSTOM TEXT"
"R19,R20","2","4k7","C2907264","","customs:R_0805_2012Metric - CUSTOM TEXT"
"R21","1","10","C2907220","","customs:R_0805_2012Metric - CUSTOM TEXT"
"R28,R29,R30,R33,R34,R39,R40","7","22","C2907310","","customs:R_0805_2012Metric - CUSTOM TEXT"
"R36","1","511k","C5159719","","customs:R_0805_2012Metric - CUSTOM TEXT"
"R37","1","91k","C2933509","","customs:R_0805_2012Metric - CUSTOM TEXT"
"SW1,SW2,SW3,SW4","4","BTN","C221692","","EasyEDA:KEY-SMD_4P-L4.2-W2.8-P1.60-LS4.6"
"SW5","1","TS24CA","C393942","","EasyEDA:SW-SMD_2P-TS24CA"
"U1","1","USBLC6-2SC6","C5180249","","Package_TO_SOT_SMD:SOT-23-6"
"U2","1","HX PM2.54-1X5P WT","C46061769","","EasyEDA:HDR-SMD_5P-P2.54-H-F"
"U3","1","DW01A","C42380662","","Package_TO_SOT_SMD:SOT-23-6"
"U4","1","BQ24074RGT","C54313","","Package_DFN_QFN:VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm"
"U5","1","MAX17048G_T10","C2682616","","Package_DFN_QFN:TDFN-8-1EP_2x2mm_P0.5mm_EP0.8x1.2mm"
"U6","1","LSM6DSL","C126672","","Package_LGA:LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y"
"U7","1","PCF8523T/1,118","C2651516","","EasyEDA:SOP-8_L4.9-W3.9-P1.27-LS6.0-BL"
"U8","1","ESP32-S3-MINI-1U","C2980299","","RF_Module:ESP32-S2-MINI-1U"
"U9","1","WS-003DB","C46598198","","EasyEDA:SW-SMD_WS-003DB"
"U10","1","TPS63802DLAR","C2845237","","EasyEDA:VSON-10_L3.0-W2.0-P0.50-TL"
"U11,U13,U14","3","AT24C32M/TR","C2688466","","EasyEDA:SOP-8_L4.9-W3.9-P1.27-LS6.0-BL"
"U12","1","LTC2955CDDB-1#TRPBF","C683788","","EasyEDA:DFN-10_L3.0-W2.0-P0.50-BL-EP"
"X1","1","SC-32S32.768kHz20PPM7pF","C97604","","EasyEDA:OSC-SMD_L3.2-W1.5"
