Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C15, C16, C18, C21, C24, C25, C5, C6, C7",0402,11,100nF,C1525
"C10, C14, C22, C23, C27, C28",0805,6,22uF,C59461
"C12, C2, C20, C3",0603,4,10uF,C19702
"C17, C19, C26",0402,3,0.1uF,C1525
C4,0402,1,1uF,C52923
"C8, C9",0603,2,10uF X5R,C19702
CN1,CONN-SMD_P2.00_S2B-PH-SM4-TB-LF-SN,1,bat connector,C295747
F1,1812,1,1A,C2649901
FPC1,FPC-SMD_12P-P0.50_FPC-05F-12PH20,1,FPC-05F-12PH20,C2856799
J2,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,C2988369
L1,L1008,1,0.47uH <30mOhm >4A,C42455362
Q1,SOT-23-6L_TCP,1,FS8205A,C908265
Q2,SOT-23,1,BSS138,C7420339
R1,0402,1,100R,C25076
R10,0402,1,2.94k,C22369428
R11,0402,1,18k,C25762
"R12, R13, R15, R16, R17, R18, R22, R23, R24, R25, R26, R27, R31, R32, R35, R38, R5, R8",0402,18,10k,C25744
"R19, R20",0402,2,4k7,C25900
R2,0402,1,1k,C11702
R21,0402,1,10,C25077
"R28, R29, R30, R33, R34",0402,5,22,C25092
"R3, R4",0402,2,5k1,C25905
R36,0402,1,511k,C144750
R37,0402,1,91k,C22356211
R6,0402,1,0,C17168
R7,0402,1,1k5,C25867
R9,0402,1,1k1,C174192
SW1,SW-SMD_LXTD-0204-034,1,POWER,C7498205
SW10,SW-SMD_5P-L4.2-W2.8-P1.60-LS4.6-TR,1,RESET,C221678
SW7,SW-SMD_5P-L4.2-W2.8-P1.60-LS4.6-TR,1,B,C221678
SW8,SW-SMD_5P-L4.2-W2.8-P1.60-LS4.6-TR,1,A,C221678
SW9,SW-SMD_5P-L4.2-W2.8-P1.60-LS4.6-TR,1,X,C221678
U1,SOT-23-6,1,USBLC6-2SC6,C5180249
U10,VSON-10_L3.0-W2.0-P0.50-TL,1,TPS63802DLAR,C2845237
U11,BUZ-SMD_4P-L13.0-W13.0-P11.4-BL,1,KLJ-01304T-08R07W,C18186315
U2,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,1,MAX98357A,C910544
U3,SOT-23-6,1,DW01A,C42380662
U4,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24074RGT,C2861252
U5,TDFN-8-1EP_2x2mm_P0.5mm_EP0.8x1.2mm,1,MAX17048G_T10,C2682616
U6,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DSL,C126672
U7,MicroCrystal_C7_SON-8_1.5x3.2mm_P0.9mm,1,RV-3028-C7,C3019759
U8,ESP32-S2-MINI-1U,1,ESP32-S3-MINI-1U,C2980299
U9,SW-SMD_WS-003DB,1,WS-003DB,C46598198
