Designator,Mid X,Mid Y,Rotation,Layer
C1,153.25,-49.75,0.0,bottom
C10,159.5,-82.5,0.0,bottom
C11,157.25,-66.75,90.0,bottom
C12,158.5,-67.5,90.0,bottom
C14,153.71,-81.05,90.0,bottom
C15,143.5,-86.5,0.0,bottom
C16,153.0,-77.75,90.0,bottom
C17,140.5,-82.0,270.0,bottom
C18,144.51,-74.25,0.0,bottom
C19,153.5,-105.49,270.0,bottom
C2,155.0,-53.5,270.0,bottom
C20,160.0,-104.25,180.0,bottom
C21,144.0,-93.75,0.0,bottom
C22,149.5,-82.05,90.0,bottom
C23,151.75,-82.05,90.0,bottom
C24,148.0,-82.55,90.0,bottom
C25,168.27,-78.25,0.0,bottom
C26,154.5,-105.51,90.0,bottom
C27,154.025,-48.005,0.0,bottom
C28,156.75,-105.5,180.0,bottom
C3,155.0,-50.5,90.0,bottom
C4,153.25,-50.75,0.0,bottom
C5,154.98,-55.5,180.0,bottom
C6,154.25,-56.5,180.0,bottom
C7,162.25,-92.75,0.0,bottom
C8,168.75,-82.75,0.0,bottom
C9,161.5,-78.25,270.0,bottom
CN1,165.75,-98.25,180.0,bottom
F1,136.25,-91.25,90.0,bottom
FPC1,153.0,-102.175,180.0,bottom
J2,141.0,-103.5,0.0,bottom
L1,151.0,-85.75,0.0,bottom
Q1,168.0,-90.0,270.0,bottom
Q2,155.75,-95.0,0.0,bottom
R1,164.25,-92.75,0.0,bottom
R10,164.0,-78.25,270.0,bottom
R11,163.0,-78.25,270.0,bottom
R12,165.74,-84.75,0.0,bottom
R13,161.5,-65.99,270.0,bottom
R15,134.99,-51.25,0.0,bottom
R16,153.01,-53.0,180.0,bottom
R17,153.01,-55.5,180.0,bottom
R18,170.5,-77.5,90.0,bottom
R19,143.51,-77.75,0.0,bottom
R2,163.2,-87.4,0.0,bottom
R20,143.51,-78.75,0.0,bottom
R21,160.0,-100.25,270.0,bottom
R22,152.75,-94.99,90.0,bottom
R23,153.0,-54.5,180.0,bottom
R24,147.25,-65.25,270.0,bottom
R25,143.01,-69.99,90.0,bottom
R26,138.49,-70.0,0.0,bottom
R27,135.5,-53.24,90.0,bottom
R28,147.0,-96.25,90.0,bottom
R29,148.0,-96.25,90.0,bottom
R3,142.75,-96.5,90.0,bottom
R30,153.74,-62.5,0.0,bottom
R31,153.5,-61.5,180.0,bottom
R32,148.25,-65.24,270.0,bottom
R33,144.0,-92.75,0.0,bottom
R34,139.75,-96.0,0.0,bottom
R35,152.0,-71.75,90.0,bottom
R36,142.8,-84.5,180.0,bottom
R37,142.79,-85.5,180.0,bottom
R38,146.04,-83.0,180.0,bottom
R4,141.75,-96.5,90.0,bottom
R5,166.76,-81.5,180.0,bottom
R6,152.99,-52.0,0.0,bottom
R7,160.25,-80.75,0.0,bottom
R8,160.26,-84.0,180.0,bottom
R9,165.6,-80.25,0.0,bottom
SW1,135.4925,-68.250013,90.0,bottom
SW10,168.61,-74.95,90.0,bottom
SW7,164.0,-98.75,0.0,top
SW8,141.0,-98.75,0.0,top
SW9,152.5,-98.75,0.0,top
U1,141.0,-93.75,0.0,bottom
U10,145.87,-85.0,180.0,bottom
U11,163.0,-53.25,0.0,bottom
U2,159.0625,-63.75,0.0,bottom
U3,163.75,-90.0,90.0,bottom
U4,163.5,-82.5,0.0,bottom
U5,137.74,-82.25,0.0,bottom
U6,152.5,-75.0,0.0,bottom
U7,143.55,-72.35,270.0,bottom
U8,144.0,-56.25,0.0,bottom
U9,167.956476,-65.75,90.0,bottom
